Detached,AgeBand,Cwi,Loft,Dg,Cond,Swi,Ashp,Gshp,Bio,Pv,Shw,Total Used Energy
0,5,1,0,1,0,0,0,0,0,0,1,9777.557837
0,5,1,1,1,0,0,0,0,0,0,1,9691.016818
0,5,1,0,1,0,0,1,0,0,0,1,4856.421887
0,5,1,1,1,0,0,1,0,0,0,1,4817.587485
0,5,1,0,1,1,0,0,0,0,0,1,9483.480858
0,5,1,1,1,1,0,0,0,0,0,1,9396.678008
0,5,1,0,1,0,0,0,0,0,1,0,10456.17396
0,5,1,1,1,0,0,0,0,0,1,0,10353.84543
0,5,1,0,1,0,0,1,0,0,1,0,4279.774661
0,5,1,1,1,0,0,1,0,0,1,0,4240.944292
0,5,1,0,1,1,0,0,0,0,1,0,9553.148222
0,5,1,1,1,1,0,0,0,0,1,0,9466.543269
0,5,1,0,1,0,0,0,0,0,1,1,9675.8121
0,5,1,1,1,0,0,0,0,0,1,1,9589.271081
0,5,1,0,1,0,0,1,0,0,1,1,4754.676151
0,5,1,1,1,0,0,1,0,0,1,1,4715.841748
0,5,1,0,1,1,0,0,0,0,1,1,9381.735121
0,5,1,1,1,1,0,0,0,0,1,1,9294.932271
0,6,1,0,0,0,0,0,0,0,0,0,6868.209137
0,6,1,0,1,0,0,0,0,0,0,0,6503.551843
0,6,1,0,0,0,0,1,0,0,0,0,4102.10623
0,6,1,0,1,0,0,1,0,0,0,0,3966.304838
0,9,1,0,1,0,0,0,0,0,0,0,13126.08739
0,9,1,1,1,0,0,0,0,0,0,0,12990.1228
0,9,1,0,1,0,0,1,0,0,0,0,7579.968109
0,9,1,1,1,0,0,1,0,0,0,0,7522.073223
0,9,1,0,1,1,0,0,0,0,0,0,12232.09646
0,9,1,1,1,1,0,0,0,0,0,0,12110.15027
0,9,1,0,1,0,0,0,0,0,0,1,11599.7254
0,9,1,1,1,0,0,0,0,0,0,1,11477.05275
0,9,1,0,1,0,0,1,0,0,0,1,7222.045497
0,9,1,1,1,0,0,1,0,0,0,1,7164.061739
0,9,1,0,1,1,0,0,0,0,0,1,10872.83871
0,9,1,1,1,1,0,0,0,0,0,1,10749.83017
0,9,1,0,1,0,0,0,0,0,1,0,12255.03162
0,9,1,1,1,0,0,0,0,0,1,0,12119.06703
0,9,1,0,1,0,0,1,0,0,1,0,6708.912339
0,9,1,1,1,0,0,1,0,0,1,0,6651.017453
0,9,1,0,1,1,0,0,0,0,1,0,11361.04069
0,9,1,1,1,1,0,0,0,0,1,0,11239.0945
0,9,1,0,1,0,0,0,0,0,1,1,11599.7254
0,9,1,1,1,0,0,0,0,0,1,1,11477.05275
0,9,1,0,1,0,0,1,0,0,1,1,7222.045497
0,9,1,1,1,0,0,1,0,0,1,1,7164.061739
0,9,1,0,1,1,0,0,0,0,1,1,10872.83871
0,9,1,1,1,1,0,0,0,0,1,1,10749.83017
0,5,1,0,1,0,0,0,0,0,0,0,12913.15286
0,5,1,1,1,0,0,0,0,0,0,0,12796.44231
0,5,1,0,1,0,0,1,0,0,0,0,6043.530744
0,5,1,1,1,0,0,1,0,0,0,0,5999.457089
0,5,1,0,1,1,0,0,0,0,0,0,11720.94033
0,5,1,1,1,1,0,0,0,0,0,0,11622.8093
0,5,1,0,1,0,0,0,0,0,0,1,11202.08121
0,5,1,1,1,0,0,0,0,0,0,1,11103.8485
0,5,1,0,1,0,0,1,0,0,0,1,5767.042166
0,5,1,1,1,0,0,1,0,0,0,1,5722.954265
0,5,1,0,1,1,0,0,0,0,0,1,10652.22134
0,5,1,1,1,1,0,0,0,0,0,1,10553.75172
0,5,1,0,1,0,0,0,0,0,1,0,12031.07107
0,5,1,1,1,0,0,0,0,0,1,0,11914.36052
0,5,1,0,1,0,0,1,0,0,1,0,5161.448952
0,5,1,1,1,0,0,1,0,0,1,0,5117.375297
0,5,1,0,1,1,0,0,0,0,1,0,10838.85854
0,5,1,1,1,1,0,0,0,0,1,0,10740.72751
0,5,1,0,1,0,0,0,0,0,1,1,11149.69272
0,5,1,1,1,0,0,0,0,0,1,1,11051.46001
0,5,1,0,1,0,0,1,0,0,1,1,5714.653673
0,5,1,1,1,0,0,1,0,0,1,1,5670.565772
0,5,1,0,1,1,0,0,0,0,1,1,10599.83284
0,5,1,1,1,1,0,0,0,0,1,1,10501.36323
0,7,1,0,1,0,0,0,0,0,0,0,8149.609161
0,7,1,0,1,0,0,1,0,0,0,0,4101.921878
0,7,1,0,1,1,0,0,0,0,0,0,7685.565916
0,8,0,0,1,1,0,0,0,0,0,0,8560.250047
0,8,1,0,1,1,0,0,0,0,0,0,8029.03759
0,8,0,1,1,1,0,0,0,0,0,0,8356.076762
0,8,1,1,1,1,0,0,0,0,0,0,7814.904414
0,8,0,0,1,0,0,1,0,0,0,0,3376.786312
0,8,1,0,1,0,0,1,0,0,0,0,3221.398568
0,8,0,1,1,0,0,1,0,0,0,0,3317.298127
0,8,1,1,1,0,0,1,0,0,0,0,3160.919854
0,8,0,0,1,1,0,0,0,0,0,1,6283.028953
0,8,1,0,1,1,0,0,0,0,0,1,5838.960668
0,8,0,1,1,1,0,0,0,0,0,1,6112.625886
0,8,1,1,1,1,0,0,0,0,0,1,5658.850014
0,8,0,0,1,0,0,1,0,0,0,1,3161.088919
0,8,1,0,1,0,0,1,0,0,0,1,3005.510892
0,8,0,1,1,0,0,1,0,0,0,1,3101.540016
0,8,1,1,1,0,0,1,0,0,0,1,2944.700887
0,8,0,0,1,1,0,0,0,0,1,0,8284.599487
0,8,1,0,1,1,0,0,0,0,1,0,7753.38703
0,8,0,1,1,1,0,0,0,0,1,0,8080.426202
0,8,1,1,1,1,0,0,0,0,1,0,7539.253854
0,8,0,0,1,0,0,1,0,0,1,0,3101.135752
0,8,1,0,1,0,0,1,0,0,1,0,2945.748008
0,8,0,1,1,0,0,1,0,0,1,0,3041.647567
0,8,1,1,1,0,0,1,0,0,1,0,2885.269294
0,8,0,0,1,1,0,0,0,0,1,1,6283.028953
0,8,1,0,1,1,0,0,0,0,1,1,5838.960668
0,8,0,1,1,1,0,0,0,0,1,1,6112.625886
0,8,1,1,1,1,0,0,0,0,1,1,5658.850014
0,8,0,0,1,0,0,1,0,0,1,1,3161.088919
0,8,1,0,1,0,0,1,0,0,1,1,3005.510892
0,8,0,1,1,0,0,1,0,0,1,1,3101.540016
0,8,1,1,1,0,0,1,0,0,1,1,2944.700887
0,9,1,0,1,0,0,0,0,0,0,0,11775.98299
0,9,1,1,1,0,0,0,0,0,0,0,11079.34311
0,9,1,0,1,0,0,1,0,0,0,0,5906.005198
0,9,1,1,1,0,0,1,0,0,0,0,5626.04492
0,9,1,0,1,1,0,0,0,0,0,0,10894.90348
0,9,1,1,1,1,0,0,0,0,0,0,10271.88929
0,9,1,0,1,0,0,0,0,0,0,1,10371.919
0,9,1,1,1,0,0,0,0,0,0,1,9746.951281
0,9,1,0,1,0,0,1,0,0,0,1,5628.892011
0,9,1,1,1,0,0,1,0,0,0,1,5348.605869
0,9,1,0,1,1,0,0,0,0,0,1,9821.429776
0,9,1,1,1,1,0,0,0,0,0,1,9195.031424
0,9,1,0,1,0,0,0,0,0,1,0,10444.89706
0,9,1,1,1,0,0,0,0,0,1,0,9748.257182
0,9,1,0,1,0,0,1,0,0,1,0,4574.919271
0,9,1,1,1,0,0,1,0,0,1,0,4294.958994
0,9,1,0,1,1,0,0,0,0,1,0,9563.817556
0,9,1,1,1,1,0,0,0,0,1,0,8940.803365
0,9,1,0,1,0,0,0,0,0,1,1,9870.526376
0,9,1,1,1,0,0,0,0,0,1,1,9245.558654
0,9,1,0,1,0,0,1,0,0,1,1,5127.499384
0,9,1,1,1,0,0,1,0,0,1,1,4847.213242
0,9,1,0,1,1,0,0,0,0,1,1,9320.037149
0,9,1,1,1,1,0,0,0,0,1,1,8693.638797
0,6,1,0,1,0,0,0,0,0,0,0,21912.08626
0,6,1,1,1,0,0,0,0,0,0,0,21848.25582
0,6,1,0,1,0,0,1,0,0,0,0,9572.051449
0,6,1,1,1,0,0,1,0,0,0,0,9548.654378
0,6,1,0,1,0,0,0,1,0,0,0,8642.27612
0,6,1,1,1,0,0,0,1,0,0,0,8621.901696
0,6,1,0,1,1,0,0,0,0,0,0,18514.01361
0,6,1,1,1,1,0,0,0,0,0,0,18464.20818
0,6,1,0,1,0,0,0,0,0,0,1,18590.82183
0,6,1,1,1,0,0,0,0,0,0,1,18538.96884
0,6,1,0,1,0,0,1,0,0,0,1,9284.933735
0,6,1,1,1,0,0,1,0,0,0,1,9261.538467
0,6,1,0,1,0,0,0,1,0,0,1,8434.722031
0,6,1,1,1,0,0,0,1,0,0,1,8414.349096
0,6,1,0,1,1,0,0,0,0,0,1,17453.93832
0,6,1,1,1,1,0,0,0,0,0,1,17404.08705
0,6,1,0,1,0,0,0,0,0,1,0,21496.28271
0,6,1,1,1,0,0,0,0,0,1,0,21432.45226
0,6,1,0,1,0,0,1,0,0,1,0,9156.247893
0,6,1,1,1,0,0,1,0,0,1,0,9132.850822
0,6,1,0,1,0,0,0,1,0,1,0,8226.472564
0,6,1,1,1,0,0,0,1,0,1,0,8206.098141
0,6,1,0,1,1,0,0,0,0,1,0,18098.21006
0,6,1,1,1,1,0,0,0,0,1,0,18048.40463
0,6,1,0,1,0,0,0,0,0,1,1,18590.82183
